tconst,domestic,international,worldwide
tt0035423,47121859.0,28897189.0,76019048.0
tt0100275,3624.0,,3624.0
tt0110476,,2139115.0,2139115.0
tt0113026,49666.0,,49666.0
tt0116748,45200.0,,45200.0
tt0118589,4274407.0,997259.0,5271666.0
tt0118694,2738980.0,11049018.0,13787998.0
tt0118926,2377348.0,2850000.0,5227348.0
tt0119004,,41939.0,41939.0
tt0120117,40712.0,,40712.0
tt0120202,6944471.0,2261808.0,9206279.0
tt0120263,80334.0,,80334.0
tt0120467,15927.0,,15927.0
tt0120630,106834564.0,118000000.0,224834564.0
tt0120667,154696080.0,178839854.0,333535934.0
tt0120679,25885000.0,30413474.0,56298474.0
tt0120681,31602566.0,42955549.0,74558115.0
tt0120737,315710750.0,581925399.0,897636149.0
tt0120753,59989.0,45994.0,105983.0
tt0120755,215409889.0,330978219.0,546388108.0
tt0120804,40119709.0,62865153.0,102984862.0
tt0120824,11434216.0,13256225.0,24690441.0
tt0120903,157299718.0,139039810.0,296339528.0
tt0120912,193735288.0,251400000.0,445135288.0
tt0120913,22753426.0,14001208.0,36754634.0
tt0120917,89636687.0,80025000.0,169661687.0
tt0121164,53359111.0,64731725.0,118090836.0
tt0121765,310676740.0,343103230.0,653779970.0
tt0121766,380270577.0,488119983.0,868390560.0
tt0122459,32722798.0,3887197.0,36609995.0
tt0125022,40336607.0,17419801.0,57756408.0
tt0126029,267665011.0,220188309.0,487853320.0
tt0127349,270745.0,,270745.0
tt0130623,137748063.0,212074702.0,349822765.0
tt0131704,26005820.0,9129000.0,35134820.0
tt0132245,32720065.0,22024673.0,54744738.0
tt0133152,180011740.0,182200000.0,362211740.0
tt0133240,38176783.0,71864580.0,110041363.0
tt0134084,89143175.0,72691101.0,161834276.0
tt0134630,4739023.0,1881219.0,6620242.0
tt0134847,39240659.0,13947000.0,53187659.0
tt0134983,14230455.0,597626.0,14828081.0
tt0138524,35327628.0,85473615.0,120801243.0
tt0138681,584054.0,,584054.0
tt0138749,50863742.0,25568985.0,76432727.0
tt0138946,889352.0,34684.0,924036.0
tt0139500,,2912.0,2912.0
tt0139654,76631907.0,28244326.0,104876233.0
tt0141399,2962465.0,40831.0,3003296.0
tt0141907,6719973.0,3652318.0,10372291.0
tt0141926,77122415.0,50544000.0,127666415.0
tt0143344,169503.0,,169503.0
tt0143861,289885.0,,289885.0
tt0144084,15070285.0,19196279.0,34266564.0
tt0144142,40361.0,,40361.0
tt0144528,123309890.0,43030000.0,166339890.0
tt0144608,29245.0,,29245.0
tt0144964,12811858.0,3031750.0,15843608.0
tt0145487,407022860.0,418002176.0,825025036.0
tt0145937,133058.0,22582.0,155640.0
tt0146063,,195358.0,195358.0
tt0146309,34592089.0,31987801.0,66579890.0
tt0146316,131168070.0,143535270.0,274703340.0
tt0146882,27287137.0,19839158.0,47126295.0
tt0146984,30919168.0,8540259.0,39459427.0
tt0148421,13465.0,,13465.0
tt0149253,,22885.0,22885.0
tt0149367,5661798.0,1788616.0,7450414.0
tt0149624,15540353.0,2593142.0,18133495.0
tt0151150,426318.0,,426318.0
tt0153464,2933161.0,806952.0,3740113.0
tt0156323,7027345.0,174356.0,7201701.0
tt0156757,65283.0,,65283.0
tt0156812,34134641.0,1413120.0,35547761.0
tt0156841,14990582.0,9372190.0,24362772.0
tt0157122,739055.0,178978.0,918033.0
tt0157191,,1041741.0,1041741.0
tt0157262,,270813.0,270813.0
tt0157472,36989956.0,1803327.0,38793283.0
tt0157583,4301582.0,11411622.0,15713204.0
tt0158033,15120.0,,15120.0
tt0158622,35268275.0,24200000.0,59468275.0
tt0159273,58856790.0,32896412.0,91753202.0
tt0159365,95636509.0,77377000.0,173013509.0
tt0160009,30208599.0,10191826.0,40400425.0
tt0160127,125305545.0,138800000.0,264105545.0
tt0160184,79161.0,6553222.0,6632383.0
tt0160399,6285176.0,2409144.0,8694320.0
tt0160403,238431.0,,238431.0
tt0160484,16815253.0,14540657.0,31355910.0
tt0160644,769272.0,,769272.0
tt0160710,160083.0,,160083.0
tt0160797,61335230.0,10397073.0,71732303.0
tt0160905,65875.0,,65875.0
tt0161081,155464351.0,135956000.0,291420351.0
tt0161083,32269834.0,6194297.0,38464131.0
tt0161216,76424.0,2664.0,79088.0
tt0161860,6180200.0,18141980.0,24322180.0
tt0162222,233632142.0,196000000.0,429632142.0
tt0162346,6217849.0,2546158.0,8764007.0
tt0162650,70334258.0,37291867.0,107626125.0
tt0162711,295683.0,,295683.0
tt0162838,2841.0,,2841.0
tt0162862,,351.0,351.0
tt0162983,36050230.0,15829814.0,51880044.0
tt0163025,181171875.0,187608934.0,368780809.0
tt0163080,,368626.0,368626.0
tt0163676,5280035.0,,5280035.0
tt0163745,1745778.0,,1745778.0
tt0163978,39785027.0,104271846.0,144056873.0
tt0163983,29381494.0,11061516.0,40443010.0
tt0164003,357197.0,919990.0,1277187.0
tt0164052,73209340.0,117004115.0,190213455.0
