,top_actors
0,Jack Nicholson
1,Marlon Brando
2,Robert De Niro
3,Al Pacino
4,Daniel Day-Lewis
5,Dustin Hoffman
6,Tom Hanks
7,Anthony Hopkins
8,Paul Newman
9,Denzel Washington
10,Spencer Tracy
11,Laurence Olivier
12,Jack Lemmon
13,Michael Caine
14,James Stewart
15,Robin Williams
16,Robert Duvall
17,Sean Penn
18,Morgan Freeman
19,Jeff Bridges
20,Sidney Poitier
21,Peter O'Toole
22,Clint Eastwood
23,Gene Hackman
24,Charles Chaplin
25,Ben Kingsley
26,Philip Seymour Hoffman
27,Leonardo DiCaprio
28,Russell Crowe
29,Kevin Spacey
30,Humphrey Bogart
31,Gregory Peck
32,Clark Gable
33,Gary Cooper
34,George C. Scott
35,Jason Robards
36,Charles Laughton
37,Anthony Quinn
38,Peter Sellers
39,James Cagney
40,Peter Finch
41,Henry Fonda
42,Cary Grant
43,Richard Burton
44,Burt Lancaster
45,William Holden
46,John Wayne
47,Kirk Douglas
48,Alec Guinness
49,Christopher Plummer
50,Tommy Lee Jones
51,Sean Connery
52,Alan Arkin
53,Christopher Walken
54,Joe Pesci
55,Ian McKellen
56,Michael Douglas
57,Jon Voight
58,Albert Finney
59,Geoffrey Rush
60,Jeremy Irons
61,Javier Bardem
62,Heath Ledger
63,Christoph Waltz
64,Ralph Fiennes
65,Johnny Depp
66,Benicio Del Toro
67,Jamie Foxx
68,Joaquin Phoenix
69,Colin Firth
70,Matthew McConaughey
71,Christian Bale
72,Gary Oldman
73,Edward Norton
74,Brad Pitt
75,Tom Cruise
76,Matt Damon
77,Hugh Jackman
78,Robert Downey Jr.
79,Liam Neeson
80,Mel Gibson
81,Harrison Ford
82,Woody Allen
83,Steve McQueen
84,Orson Welles
85,Robert Redford
86,James Dean
87,Charlton Heston
88,Gene Kelly
89,Robert Mitchum
90,Bill Murray
91,Samuel L. Jackson
92,Jim Carrey
93,Don Cheadle
94,Martin Sheen
95,Alan Rickman
96,Edward G. Robinson
97,Will Smith
98,John Goodman
99,Buster Keaton
